category_code,normalized_name,logo_width,logo_height,country_code,city,investment_rounds,invested_companies,milestones,relationships,funding_total_usd,acquired_at,logo_ratio,name_length
NA,cyota,281,222,NA,NA,0,0,2,8,9000000,2005-12-01,1.2657657657657657,5
software,ascender,450,67,DEU,Pirmasens,0,0,0,0,0,2010-12-08,6.7164179104477615,8
enterprise,mindshift technologies,214,45,USA,Waltham,0,0,3,10,19097622,2011-11-07,4.7555555555555555,22
web,insureme,226,61,USA,Englewood,0,0,1,0,0,2007-02-07,3.7049180327868854,8
NA,bi,169,24,USA,Boulder,0,0,0,1,0,2010-12-21,7.041666666666667,2
NA,availl,130,76,USA,San Antonio,0,0,0,0,0,2006-09-25,1.7105263157894737,6
web,tacoda,201,75,USA,New York,0,0,2,16,19000000,2007-07-24,2.68,6
web,swapdrive,175,62,USA,Washington,0,0,1,3,4650000,2008-06-01,2.8225806451612905,9
hardware,konftel,250,52,NA,NA,0,0,0,0,0,2011-01-04,4.8076923076923075,7
news,alloy,269,82,USA,NA,0,0,2,5,126500000,2010-06-24,3.2804878048780486,5
consulting,cmac,206,80,USA,Alpharetta,0,0,0,0,0,2011-01-03,2.575,4
web,friends reunited,108,37,GBR,London,0,0,4,1,0,2005-12-01,2.918918918918919,16
games_video,ign entertainment,144,114,USA,San Francisco,0,0,4,79,0,2013-02-04,1.263157894736842,17
web,ideal bite,300,120,USA,San Francisco,0,0,0,1,0,2008-06-12,2.5,10
software,boxee,101,114,ISR,Tel Aviv,1,1,3,17,26500000,2013-07-03,0.8859649122807017,5
web,digital insight,208,72,USA,Westlake Village,0,0,2,6,0,2006-12-01,2.888888888888889,15
public_relations,symmetricom,256,71,USA,San Jose,0,0,2,7,0,2013-10-21,3.6056338028169015,11
NA,play,220,88,NA,NA,0,0,0,0,0,2011-09-21,2.5,4
search,ziplocal,144,144,CAN,Toronto,0,0,3,11,14003545,2009-06-22,1,8
other,quickparts,244,96,USA,Atlanta,0,0,1,1,0,2011-02-22,2.5416666666666665,10
